Season,Circuit,Driver,Stint,Compound,NLaps,LooRmseLinear,LooRmseQuadratic,QuadraticWins
2022,United States,GAS,3.0,HARD,20,0.336354769219729,0.35608437216264105,False
2022,United States,HAM,2.0,HARD,10,0.27173664910227296,0.29981093298054934,False
2022,United States,HAM,3.0,HARD,17,0.38967968295083594,0.3582743943630326,True
2022,United States,LAT,3.0,HARD,29,0.3965252605098437,0.3507145385294222,True
2022,United States,LEC,1.0,MEDIUM,15,0.49186993380016053,0.5253191333844869,False
2022,United States,LEC,3.0,MEDIUM,19,0.47524196396981266,0.4976358344676005,False
2022,United States,MAG,1.0,HARD,12,0.2205220435453676,0.2335441739679889,False
2022,United States,MAG,2.0,MEDIUM,30,0.5143678617527728,0.4239648487962274,True
2022,United States,MSC,1.0,HARD,14,0.49506699430690776,0.5749512617626487,False
2022,United States,MSC,3.0,HARD,17,0.24418088902676985,0.28956986451910094,False
2022,United States,NOR,1.0,MEDIUM,11,0.5861552088517984,0.6949307160480868,False
2022,United States,NOR,3.0,HARD,20,0.3688402820004948,0.3338018144650429,True
2022,United States,OCO,1.0,HARD,12,0.28893473024456057,0.289025840094991,False
2022,United States,OCO,2.0,HARD,17,0.28653430504632343,0.20045085535488816,True
2022,United States,PER,1.0,MEDIUM,11,0.3797229094456436,0.4161499946171721,False
2022,United States,PER,2.0,HARD,13,0.4893617629017402,0.6979755532178162,False
2022,United States,PER,3.0,MEDIUM,16,0.30078782038673346,0.33961046451635096,False
2022,United States,RIC,2.0,HARD,13,0.4331197491686371,0.5032902055566427,False
2022,United States,RIC,3.0,HARD,18,0.3036144786649312,0.28096038529090317,True
2022,United States,RUS,1.0,MEDIUM,10,0.36708344247709174,0.4315508801247956,False
2022,United States,RUS,2.0,HARD,11,0.20964935059643663,0.22736409931997628,False
2022,United States,RUS,3.0,HARD,14,0.30025317824017167,0.30851290982075813,False
2022,United States,STR,1.0,MEDIUM,12,0.6490010134648421,0.7026742433793177,False
2022,United States,TSU,2.0,MEDIUM,11,0.45758962593130387,0.4304407686637125,True
2022,United States,TSU,3.0,HARD,20,0.4567360034508483,0.34635266059295017,True
2022,United States,VER,1.0,MEDIUM,10,0.37329564480263716,0.5084958962469822,False
2022,United States,VER,2.0,HARD,10,0.2863110407798363,0.39268552187883804,False
2022,United States,VER,3.0,MEDIUM,19,0.24867182223700973,0.23329324950036218,True
2022,United States,VET,1.0,MEDIUM,16,0.4930676239899021,0.4396390318802701,True
2022,United States,VET,2.0,MEDIUM,13,0.23082767027889514,0.21697048366138755,True
2022,United States,VET,3.0,HARD,11,0.23394183407177765,0.12009652922780983,True
2022,United States,ZHO,3.0,HARD,31,0.9007938717601892,0.5786666987307589,True
2023,Bahrain,ALB,2.0,SOFT,12,0.20503604359392352,0.25409387236736436,False
2023,Bahrain,ALB,3.0,HARD,11,0.1446392320250603,0.10657360012483384,True
2023,Bahrain,ALB,4.0,SOFT,14,0.10266465443766315,0.11336175042065992,False
2023,Bahrain,ALO,1.0,SOFT,11,0.3570121882799174,0.4260215114560751,False
2023,Bahrain,ALO,2.0,HARD,17,0.26060359887267415,0.2588281613536227,True
2023,Bahrain,ALO,3.0,HARD,19,0.4432930838206851,0.4156978982906167,True
2023,Bahrain,BOT,2.0,HARD,11,0.40605923218225887,0.4581687954276495,False
2023,Bahrain,BOT,3.0,HARD,21,0.07064098607124147,0.07407840442817831,False
2023,Bahrain,DEV,2.0,HARD,12,0.15430423424416925,0.11329810607013978,True
2023,Bahrain,DEV,3.0,HARD,25,0.6232922371960599,0.5539834148737933,True
2023,Bahrain,GAS,2.0,HARD,11,0.18198549007633433,0.19559814407636092,False
2023,Bahrain,GAS,3.0,HARD,11,0.09523551923363734,0.10118959703315394,False
2023,Bahrain,GAS,4.0,SOFT,15,0.2277482597561587,0.15938692043852568,True
2023,Bahrain,HAM,2.0,HARD,15,0.09486529631599017,0.11364337945141668,False
2023,Bahrain,HAM,3.0,HARD,23,0.46174306214632016,0.4731206444860997,False
2023,Bahrain,HUL,2.0,HARD,12,0.3231156727841487,0.3523976833778495,False
2023,Bahrain,HUL,3.0,HARD,11,0.13405746262524096,0.11834373775331306,True
